filename,true_id,pred_id,score,correct
00_07.jpg,7,7,-0.38381289648983175,1
01_00.jpg,0,0,-0.37002223962579,1
02_07.jpg,7,7,-0.33267071431147216,1
03_07.jpg,7,7,-0.3983798895003113,1
04_01.jpg,1,1,-0.2829531924746443,1
05_02.jpg,2,2,-0.2822795874354639,1
06_07.jpg,7,7,-0.4002217952276167,1
07_03.jpg,3,3,-0.23872754616321917,1
08_00.jpg,0,7,-0.3142081052831848,0
09_07.jpg,7,7,-0.2803782149312795,1
10_07.jpg,7,7,-0.21991718014889944,1
11_03.jpg,3,3,-0.19448703449051236,1
12_07.jpg,7,7,-0.5245035751815773,1
13_04.jpg,4,4,-0.3176902696092376,1
14_07.jpg,7,7,-0.3929748334882555,1
15_07.jpg,7,7,-0.24380862120444335,1
16_04.jpg,4,7,-0.4091420022582871,0
17_03.jpg,3,3,-0.50306794054627,1
18_01.jpg,1,7,-0.18704454801890513,0
19_05.jpg,5,5,-0.35287647444980214,1
20_00.jpg,0,0,-0.5385322050512067,1
21_03.jpg,3,7,-0.3815931567502033,0
22_05.jpg,5,5,-0.28857953718234264,1
23_00.jpg,0,0,-0.4261954451634847,1
24_03.jpg,3,7,-0.30407228566493594,0
25_07.jpg,7,7,-0.26191237614745,1
26_03.jpg,3,3,-0.35056540479086173,1
27_07.jpg,7,7,-0.6461597343360717,1
28_04.jpg,4,4,-0.5712418709868807,1
29_01.jpg,1,7,-0.29239355043178816,0
30_00.jpg,0,7,-0.5629582234111955,0
31_06.jpg,6,6,-0.3523553812873246,1
32_01.jpg,1,7,-0.33839659652602067,0
33_04.jpg,4,7,-0.6640548803247293,0
34_00.jpg,0,7,-0.6662191139617045,0
35_06.jpg,6,6,-0.349565282182816,1
36_03.jpg,3,3,-0.0751246445137366,1
37_07.jpg,7,7,-0.41511727045254243,1
38_01.jpg,1,7,-0.16242656058940777,0
39_04.jpg,4,7,-0.4509233943721909,0
40_00.jpg,0,7,-0.49938253899221074,0
41_06.jpg,6,6,-0.12596374206260053,1
